Product URL,Name,Rating,Number of Ratings,Number of Reviews,OS,Resolution Type,Resolution Pixels,Launch Year,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/cornea-bezelless-127-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itm5659fa956bf8e?pid=TVSGDTQXVDZMARA3&lid=LSTTVSGDTQXVDZMARA3MQ9YJ9&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_21&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLK1PmGPy0OMYKm0OGbmnE1jtVU-Ipgn3rCq1FRtr-HPVg%3D%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,CORNEA Bezelless 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.5,2,1,Android,ultra hd (4k),3840x2160,2022,N/A,24999,39999,37 
https://www.flipkart.com/panasonic-139-cm-55-inch-ultra-hd-4k-led-smart-google-tv/p/itmc10f8d5fae0b6?pid=TVSGZCADWVVSUHBH&lid=LSTTVSGZCADWVVSUHBH8FTNOI&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_22&otracker=search&otracker1=search&iid=en_3bMvRsWFt1PyZMcSmYkbGBnuTEBH_QkXaY2AN_nSzLIM6fOXAt_s7i7KCI38HG6jwn6-Nwf7q58wmV8g5KhgiNmEaX_1OVaDgohoY5ZV-y8%3D&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Panasonic 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,4.3,8812,1209,Google TV,ultra hd (4k),3840x2160,2023,1,44990,62990,28 
https://www.flipkart.com/realme-techlife-cinesonic-q-80-cm-32-inch-qled-hd-ready-smart-google-tv-40-w-speaker/p/itmcf767dc76633f?pid=TVSH47ZG8K5ZH6UV&lid=LSTTVSH47ZG8K5ZH6UVMOH63Z&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_23&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSH47ZG8K5ZH6UV.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,realme TechLife CineSonic Q 80 cm (32 inch) QLED HD Ready Smart Google TV 40 W Speaker,4.1,170,16,Google TV,hd ready,1366x768,2025,1,11999,23999,50 
https://www.flipkart.com/hisense-e6n-164-cm-65-inch-ultra-hd-4k-led-smart-google-tv-2024-dolby-vision-atmos-dts-virtual-x-4k-ai-upscaler/p/itm119ef1d167cd8?pid=TVSHFCA5K6DJMTZQ&lid=LSTTVSHFCA5K6DJMTZQAWWLXK&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_1_24&otracker=search&otracker1=search&iid=601f72c7-a4d8-4a3d-b432-665baa5b7f99.TVSHFCA5K6DJMTZQ.SEARCH&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,"Hisense E6N 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV 2024 Edition with Dolby Vision Atmos, D...",4.3,9109,1263,Google TV,ultra hd (4k),3840x2160,2024,1,49999,79999,37 
https://www.flipkart.com/infinix-109-cm-43-inch-qled-ultra-hd-4k-smart-google-tv/p/itm94278288d0575?pid=TVSH46HKTZZFH3NJ&lid=LSTTVSH46HKTZZFH3NJPBGBH9&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_25&otracker=search&otracker1=search&fm=Search&iid=e132a30c-a20c-4305-8c76-5f0cf0c9c113.TVSH46HKTZZFH3NJ.SEARCH&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Infinix 109 cm (43 inch) QLED Ultra HD (4K) Smart Google TV,4,494,53,Google TV,ultra hd (4k),3840x2160,2024,1,18499,29999,38 
https://www.flipkart.com/acer-n-series-80-01-cm-32-inch-hd-ready-led-tv/p/itmb9742c4cbfecb?pid=TVSGPGXBEP9Z8SJY&lid=LSTTVSGPGXBEP9Z8SJYAONH64&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_26&otracker=search&otracker1=search&fm=Search&iid=e132a30c-a20c-4305-8c76-5f0cf0c9c113.TVSGPGXBEP9Z8SJY.SEARCH&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Acer N Series 80.01 cm (32 inch) HD Ready LED TV,3.9,981,74,N/A,hd ready,1366x768,2023,1,8499,14999,43 
https://www.flipkart.com/blaupunkt-189-cm-75-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-atmos/p/itm3322c1dcf2f5d?pid=TVSGQFRYJUZERUVV&lid=LSTTVSGQFRYJUZERUVVK0ITC3&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_27&otracker=search&otracker1=search&fm=Search&iid=en_Y0dAlTPEP0aBxTMbPlgeeLBpNdO2sXkTrmQU-l9JNIyDkMti8cUaM_1NEDDF1_6NGCMZxUIz494PezSLiGXvlA%3D%3D&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Blaupunkt 189 cm (75 inch) QLED Ultra HD (4K) Smart Google TV Dolby Vision & Atmos,4.5,9182,2276,Google TV,ultra hd (4k),3840x2160,2023,1,74999,149999,50 
https://www.flipkart.com/mi-xiaomi-x-pro-qled-108-cm-43-inch-ultra-hd-4k-smart-google-tv-4k-dolby-vision-audio-dts-virtual-vivid-picture-engine-2-adaptive-brightness/p/itmb6a8b157f24d5?pid=TVSH3GSJYVZJ8YEZ&lid=LSTTVSH3GSJYVZJ8YEZQW5BND&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=en_Y0dAlTPEP0aBxTMbPlgeeLBpNdO2sXkTrmQU-l9JNIwJx4KE_5ybWPgX82SEO29TqyspmbEUCbi2d0fWijtuJPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,Mi by Xiaomi X Pro QLED 108 cm (43 inch) QLED Ultra HD (4K) Smart Google TV 4K Dolby Vision | Dolby Au...,4.1,605,44,Google TV,ultra hd (4k),3840x2160,2024,2,34990,50999,31 
https://www.flipkart.com/realme-techlife-cinesonic-q-140-cm-55-inch-qled-ultra-hd-4k-smart-google-tv/p/itm077b113f4da5d?pid=TVSH33ZRHUEHQYCG&lid=LSTTVSH33ZRHUEHQYCGO5TYQU&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=e132a30c-a20c-4305-8c76-5f0cf0c9c113.TVSH33ZRHUEHQYCG.SEARCH&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,realme TechLife CineSonic Q 140 cm (55 inch) QLED Ultra HD (4K) Smart Google TV,4.3,3372,372,Google TV,ultra hd (4k),3840x2160,2024,1,31999,66999,52 
https://www.flipkart.com/samsung-108-cm-43-inch-full-hd-led-smart-tizen-tv-300-free-channels-hdr-purcolor-dolby-digital-plus-hyper-real-picture-engine-triple-protection-smartthings-app-support-key-connect-share-hdd-connectshare-usb-2-0/p/itm45cc248b9b83c?pid=TVSGRS7GYVN3UZNZ&lid=LSTTVSGRS7GYVN3UZNZULGKSS&marketplace=FLIPKART&q=tv&store=ckf%2Fczl&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=e132a30c-a20c-4305-8c76-5f0cf0c9c113.TVSGRS7GYVN3UZNZ.SEARCH&ppt=sp&ppn=sp&ssid=477sm3c4000000001739008916158&qH=c9a1fdac6e082dd8,SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV with 300+ Free Channels | HDR | PurColor | Dolby D...,4.3,155071,11331,Tizen,full hd,1920x1080,2023,1,24490,37900,35 
