Product URL,Name,Rating,Number of Ratings,Number of Reviews,Compressor Type,Built-in Stabilizer,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/haier-240-l-frost-free-double-door-top-mount-2-star-convertible-refrigerator-5-1turbo-icing/p/itmd9549da4992fa?pid=RFRGXMFUBESRH5NH&lid=LSTRFRGXMFUBESRH5NHN3KH7K&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_286&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGXMFUBESRH5NH.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 240 L Frost Free Double Door Top Mount 2 Star Convertible Refrigerator  with Convertible 5 in 1T...,4.3,3684,336,Normal Compressor,Yes,1 Years Warranty on Product and 10 Years Warranty on Compressor,22790,31490,27 
https://www.flipkart.com/haier-190-l-direct-cool-single-door-5-star-refrigerator-base-drawer-large-storage-space1-hour-icing-technology/p/itmc6aaa04976d53?pid=RFRGT4YJ4ZZY27HS&lid=LSTRFRGT4YJ4ZZY27HSU39CSE&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_12_287&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=953f1ee8-64cb-4129-baf6-934f767e929c.RFRGT4YJ4ZZY27HS.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,4.4,15622,1209,Normal Compressor,Yes,2 Years Warranty on Product and 10 Years Warranty on Compressor,16890,26590,36 
https://www.flipkart.com/godrej-564-l-frost-free-side-refrigerator-glass-door-multi-air-flow-technology-customised-temperature-settings/p/itm967ebc3a85d98?pid=RFRG9NTRTFJFFUM4&lid=LSTRFRG9NTRTFJFFUM4OZE40U&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_289&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRG9NTRTFJFFUM4.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,"Godrej 564 L Frost Free Side by Side Refrigerator  with Glass Door, Multi Air Flow Technology, And Cus...",4.4,859,70,N/A,N/A,1 Year Warranty on Product and 10 Years on Compressor from Godrej,60990,95000,35 
https://www.flipkart.com/candy-328-l-frost-free-double-door-3-star-refrigerator-10-1-convertible-inverter-compressor/p/itm30fb7ef151371?pid=RFRGHUEYAMRQWJXF&lid=LSTRFRGHUEYAMRQWJXF1LXCUA&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_290&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRGHUEYAMRQWJXF.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,"CANDY 328 L Frost Free Double Door 3 Star Refrigerator  with 10 in 1 Convertible Refrigerator , Invert...",4.2,465,83,Inverter Compressor,Yes,1 Year Warranty on Product and 10 Years on Compressor,27990,40490,30 
https://www.flipkart.com/haier-445-l-frost-free-double-door-bottom-mount-2-star-convertible-refrigerator-14-in-11-hour-icingdigital-control-panel/p/itm687bb5a5618aa?pid=RFRGWU8ARHMGHTCA&lid=LSTRFRGWU8ARHMGHTCA3KUPIL&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_291&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRGWU8ARHMGHTCA.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 445 L Frost Free Double Door Bottom Mount 2 Star Convertible Refrigerator  with Convertible 14-i...,3.9,7,3,Normal Compressor,Yes,2 Years Warranty on Product and 10 Years Warranty on Compressor,51370,81890,37 
https://www.flipkart.com/ifb-206-l-direct-cool-single-door-4-star-refrigerator-advanced-inverter-compressor-converti-cool-copper-boost-digital-display/p/itm81efdc3c72657?pid=RFRGYSHECTF2CTTF&lid=LSTRFRGYSHECTF2CTTFP2F2L7&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_292&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRGYSHECTF2CTTF.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,"IFB 206 L Direct Cool Single Door 4 Star Refrigerator  with Advanced Inverter Compressor, Converti-Coo...",4.4,49,1,Reciprocating Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,18490,26400,29 
https://www.flipkart.com/voltas-beko-tata-product-340-l-frost-free-double-door-2-star-refrigerator/p/itmdc227d697f33d?pid=RFRGHSEYNAJVGH2R&lid=LSTRFRGHSEYNAJVGH2R7QGRCW&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_293&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRGHSEYNAJVGH2R.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Voltas Beko by A Tata Product 340 L Frost Free Double Door 2 Star Refrigerator,4.1,1765,145,Pro Smart Inverter Compressor,Yes,2 Years Comprehensive Warranty and 12 Years Compressor Warranty,29990,45290,33 
https://www.flipkart.com/lg-185-l-direct-cool-single-door-5-star-refrigerator-base-drawer/p/itm71afdee0dd8fb?pid=RFRH8GXQD7W8EXZN&lid=LSTRFRH8GXQD7W8EXZNWQXB0E&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_294&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRH8GXQD7W8EXZN.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,N/A,N/A,N/A,Smart Inverter Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty  on Compressor,17990,23899,24 
https://www.flipkart.com/whirlpool-184-l-direct-cool-single-door-4-star-refrigerator/p/itmb5d50bd0f90c3?pid=RFRHFQXDBYAWZGHR&lid=LSTRFRHFQXDBYAWZGHRUGAUGT&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_295&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRHFQXDBYAWZGHR.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Whirlpool 184 L Direct Cool Single Door 4 Star Refrigerator,4.3,6668,467,Inverter Compressor,Yes,1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor,16840,20950,19 
https://www.flipkart.com/haier-237-l-frost-free-double-door-bottom-mount-3-star-convertible-refrigerator-8-in-1turbo-icing/p/itm6203754980090?pid=RFRGT4YJ7HBE6UWR&lid=LSTRFRGT4YJ7HBE6UWRG6MZIX&marketplace=FLIPKART&q=refrigerator&store=j9e%2Fabm%2Fhzg&srno=s_13_296&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=2d076f03-a2cd-4d23-83be-504a94435dd9.RFRGT4YJ7HBE6UWR.SEARCH&ppt=sp&ppn=sp&ssid=9km32ay5io0000001739015887612&qH=945c050322f005b6,Haier 237 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator  with Convertible 8-in...,4.4,330,35,Normal Compressor,Yes,1 Year Warranty on Product and 10 Years Warranty on Compressor,26590,37490,29 
