Product URL,Name,Rating,Number of Ratings,Number of Reviews,Power Usage (W),Room Size (sqft),Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/godrej-1-ton-5-star-split-inverter-ac-white/p/itm019af9c609e26?pid=ACNH73ZB9RAESDG6&lid=LSTACNH73ZB9RAESDG6YVJN7Z&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_471&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNH73ZB9RAESDG6.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Godrej 1 Ton 5 Star Split Inverter AC  - White,N/A,N/A,N/A,516.37 kWh,90 sqft,"1 Year Warranty on the Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32990,48900,32 
https://www.flipkart.com/lg-2025-mode-ai-plus-convertible-6-in-1-1-5-ton-5-star-split-dual-inverter-energy-manger-plus-wi-fi-voice-control-himclean-4-way-viraat-diet-ac-wi-fi-connect-white/p/itm643d150b323bb?pid=ACNH7SP5ZX8DXZXE&lid=LSTACNH7SP5ZX8DXZXELBPECM&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_472&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNH7SP5ZX8DXZXE.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"LG 2025 Mode AI Plus Convertible 6-in-1 1.5 Ton 5 Star Split AI Dual Inverter with Energy Manger Plus,...",4,5006,398,744.54 kWh,111 - 150 sqft,"1 Year warranty on product, 5 Years on PCB and Motor, and 10 Years on compressor with gas charging (T&C apply)",48990,91990,46 
https://www.flipkart.com/godrej-2-ton-3-star-split-inverter-ac-white/p/itm72498cb8966df?pid=ACNGKZNBW8NWTZVQ&lid=LSTACNGKZNBW8NWTZVQPCVOB1&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_473&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGKZNBW8NWTZVQ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Godrej 2 Ton 3 Star Split Inverter AC  - White,4.1,15,0,1201.27 kWh,151 - 200 sqft,"1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",40490,60990,33 
https://www.flipkart.com/daikin-1-ton-3-star-split-inverter-pm-2-5-filter-ac-white/p/itmaee5d224de424?pid=ACNFZTJGGTYGXDZV&lid=LSTACNFZTJGGTYGXDZVVK38IM&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_474&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNFZTJGGTYGXDZV.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Daikin 1 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,3.8,14,0,682.27 kWh,90 sqft,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",51149,54999,7 
https://www.flipkart.com/hitachi-1-ton-5-star-split-inverter-ac-white/p/itmf7967781c18d2?pid=ACNGZH2VFFZVWGMT&lid=LSTACNGZH2VFFZVWGMTUNXYNV&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_475&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGZH2VFFZVWGMT.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Hitachi 1 Ton 5 Star Split Inverter AC  - White,N/A,N/A,N/A,533.61 kWh,90 sqft,"1 Year Warranty on Product, 5 Years Warranty on PCB and 5 Years Warranty on Compressor",41000,60500,32 
https://www.flipkart.com/samsung-convertible-2-ton-3-star-split-inverter-ac-white/p/itm42f367b6a3470?pid=ACNGGXDFJEYCMAGF&lid=LSTACNGGXDFJEYCMAGFUZBTJP&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_476&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGGXDFJEYCMAGF.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,SAMSUNG Convertible 2 Ton 3 Star Split Inverter AC  - White,4.2,740,61,1145.22 kWh,151 - 200 sqft,"1 Year Standard Warranty on Product, 10 Years Warranty on Compressor",80990,82990,2 
https://www.flipkart.com/voltas-1-5-ton-3-star-window-ac-white/p/itm0283d2273f64b?pid=ACNGHUNGHM5GX9HJ&lid=LSTACNGHUNGHM5GX9HJWMJ3Q1&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_477&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGHUNGHM5GX9HJ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Voltas 1.5 Ton 3 Star Window AC  - White,3.5,34,1,1216.12 kWh,111 - 150 sqft,1 Year Warranty on Product and 5 Years Warranty on Compressor,32490,42999,24 
https://www.flipkart.com/godrej-1-ton-5-star-split-dual-inverter-anti-virus-protection-ac-white-silver/p/itmab100a1a6a654?pid=ACNGC2SCBNBMZGNM&lid=LSTACNGC2SCBNBMZGNMAUGEXX&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_478&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNGC2SCBNBMZGNM.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"Godrej 1 Ton 5 Star Split Dual Inverter With Anti-Virus Protection AC  - White, Silver",4.1,82,9,584.46 kWh,90 sqft,1 Year Warranty on Product and 10 Years on Compressor,34999,48000,27 
https://www.flipkart.com/lg-super-convertible-6-in-1-cooling-1-5-ton-5-star-split-inverter-ai-4-way-swing-hd-filter-anti-virus-protection-ac-white/p/itm8db17008f031c?pid=ACNG9VHY4EYCKNKN&lid=LSTACNG9VHY4EYCKNKNVIDSOP&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_20_479&otracker=search&otracker1=search&fm=Search&iid=895a6fa8-e084-4c51-98f3-25f55c10ed07.ACNG9VHY4EYCKNKN.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter AI, 4 Way Swing, HD Filter with Anti...",4.1,41259,3662,818.81 kWh,111 - 150 sqft,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",50300,75990,33 
https://www.flipkart.com/panasonic-1-5-ton-5-star-split-inverter-ac-white/p/itm9ff521215db48?pid=ACNFU3XZFUCQDKRZ&lid=LSTACNFU3XZFUCQDKRZI3BBV7&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_21_481&otracker=search&otracker1=search&fm=Search&iid=267a747b-98a0-4bbf-a463-35511683d0f0.ACNFU3XZFUCQDKRZ.SEARCH&ppt=sp&ppn=sp&ssid=7x7dykenxs0000001739016543978&qH=e2075474294983e0,Panasonic 1.5 Ton 5 Star Split Inverter AC  - White,4.5,153,23,846.85 kWh,111 - 150 sqft,1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic,44934,57500,21 
