Product URL,Name,Rating,Number of Ratings,Number of Reviews,Max Speed (RPM),Star Rating,In-Built Heater,Warranty,Price (₹),Original Price (₹),Discount (%)
https://www.flipkart.com/thomson-8-kg-5-star-aqua-magic-grande-series-floral-toughened-glass-double-waterfall-semi-automatic-top-load-washing-machine-black-grey/p/itm19805c9b3ce40?pid=WMNH27MKNMWCT2DW&lid=LSTWMNH27MKNMWCT2DWCMV7G1&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_21&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnc-tlWEEahyZrPC6hVf0BxFk3imrApru7uly1Izg_C0QOI7uWi7bi3WLqk6JF-UYDE%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,Thomson 8 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass and Double Waterfall Semi Aut...,4.1,18983,1669,1400 RPM,5 Star,N/A,2 Years,8999,12999,30 
https://www.flipkart.com/whirlpool-7-5-kg-5-star-memory-retention-end-cycle-buzzer-collar-scrubber-semi-automatic-top-load-washing-machine-black-grey/p/itm6bedc92d5c109?pid=WMNGF9W87UZG9NEJ&lid=LSTWMNGF9W87UZG9NEJ4KTB1E&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_22&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=en_sv_iytFyWuUIeXL5sl_SeCt1PhmzbTUiPwME9ZrRZnfNqMtJER-gsqHOK37R7kP1rxzUdNqxKKvylr0cnQqNn2JMZAJirnjvZRqZ0WhE16A%3D&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Whirlpool 7.5 kg 5 Star with Memory Retention, End of Cycle Buzzer and Collar Scrubber Semi Automatic ...",4.4,26259,1851,1400 RPM,5 Star,N/A,4 Years,10970,14700,25 
https://www.flipkart.com/ifb-7-kg-5-star-deep-clean-technology-activmix-powered-ai-aqua-energie-soft-close-door-fully-automatic-top-load-washing-machine-black-grey/p/itm90782755b5610?pid=WMNH25C2HKKSJ5DP&lid=LSTWMNH25C2HKKSJ5DPFZ8RPZ&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_23&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNH25C2HKKSJ5DP.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"IFB 7 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Doo...",4.3,21182,1712,720 RPM,5 Star,N/A,4 Years,17590,23960,26 
https://www.flipkart.com/voltas-beko-6-5-kg-semi-automatic-top-load-washing-machine-maroon-white/p/itme0d16e5ce5cc7?pid=WMNGYJHZ4KW5HFCV&lid=LSTWMNGYJHZ4KW5HFCVNUHHRT&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_1_24&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&iid=9b533b4b-9100-43e6-812b-74493bc2e5c7.WMNGYJHZ4KW5HFCV.SEARCH&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Voltas Beko 6.5 kg Semi Automatic Top Load Washing Machine Maroon, White",4.3,13817,977,1350 RPM,5 Star,N/A,1 Years,7990,12500,36 
https://www.flipkart.com/lg-8-kg-5-star-roller-jet-pulsator-soak-wind-dry-rat-away-6-spin-tub-capacity-semi-automatic-top-load-washing-machine-multicolor/p/itme46032c6324b4?pid=WMNGGYQTWHG5VVYZ&lid=LSTWMNGGYQTWHG5VVYZUW6ZGD&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_25&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=a5cb477d-bd3f-40af-bb28-829de370a4df.WMNGGYQTWHG5VVYZ.SEARCH&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"LG 8 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6 Kg (Spin Tub Capacity)...",4.5,5592,374,1300 RPM,5 Star,N/A,2 Years,13990,19990,30 
https://www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-washing-machine-grey/p/itm048aca1726a71?pid=WMNG4XM5CQTNRQHV&lid=LSTWMNG4XM5CQTNRQHVMDOMPN&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_26&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=a5cb477d-bd3f-40af-bb28-829de370a4df.WMNG4XM5CQTNRQHV.SEARCH&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,4.1,26474,2557,700 RPM,5 Star,N/A,2 Years,12190,19990,39 
https://www.flipkart.com/whirlpool-7-kg-magic-clean-5-star-fully-automatic-top-load-washing-machine-grey/p/itm50fdb8ca1e478?pid=WMNGDSUXZS5BWH7H&lid=LSTWMNGDSUXZS5BWH7HJAJBFH&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_27&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=en_HEvbc1Jq5b1c6m2MBC5g7nKxwHd01RE6tJ4lYD-jJhh16tpftU1oikjpmmAW7mfBBS0Ej-BGtIJAHxFUf9UvMPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,4.1,28802,1951,740 RPM,5 Star,N/A,2 Years,14990,19350,22 
https://www.flipkart.com/onida-7-5-kg-5-star-dual-action-pulsator-quadra-scrub-fully-automatic-top-load-washing-machine-black/p/itmfaab1a46865bd?pid=WMNGNGZ2QN5ZGTTQ&lid=LSTWMNGNGZ2QN5ZGTTQS8LAW6&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_28&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=en_HEvbc1Jq5b1c6m2MBC5g7nKxwHd01RE6tJ4lYD-jJhj7a2x01EEXgL30x9B_jHbozbaS6618zmdhuzADENGjsfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,ONIDA 7.5 kg 5 Star Dual Action Pulsator Quadra Scrub Fully Automatic Top Load Washing Machine Black,4.2,41092,4624,750 RPM,5 Star,N/A,2 Years,14290,23090,38 
https://www.flipkart.com/voltas-beko-8-kg-semi-automatic-top-load-washing-machine-blue-white/p/itmf43027c7a7e8d?pid=WMNGXUHCCFABP4G4&lid=LSTWMNGXUHCCFABP4G4JRBZCW&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_29&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=a5cb477d-bd3f-40af-bb28-829de370a4df.WMNGXUHCCFABP4G4.SEARCH&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Voltas Beko 8 kg Semi Automatic Top Load Washing Machine Blue, White",4.3,13817,977,1350 RPM,5 Star,N/A,1 Years,10290,18990,45 
https://www.flipkart.com/whirlpool-8-5-kg-5-star-auto-restart-end-cycle-buzzer-lint-filter-collar-scrubber-semi-automatic-top-load-washing-machine-grey/p/itm7a0759b587a8b?pid=WMNGMDN6C8PWWCHW&lid=LSTWMNGMDN6C8PWWCHWSGU3Y8&marketplace=FLIPKART&q=washing+machine&store=j9e%2Fabm%2F8qx&srno=s_2_30&otracker=AS_Query_HistoryAutoSuggest_4_0&otracker1=AS_Query_HistoryAutoSuggest_4_0&fm=Search&iid=a5cb477d-bd3f-40af-bb28-829de370a4df.WMNGMDN6C8PWWCHW.SEARCH&ppt=sp&ppn=sp&ssid=nrx3xtv02o0000001739009841902&qH=b3522a5e7056c9c0,"Whirlpool 8.5 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi A...",4.4,26259,1851,1400 RPM,5 Star,N/A,4 Years,12910,17400,25 
